"UPF0","UPF0"
2026-08-20 19:56:45,0.0535
2026-08-20 19:57:00,0.0535
2026-08-20 19:57:15,0.0535
2026-08-20 19:57:30,0.0535
2026-08-20 19:57:45,0.0509
2026-08-20 19:58:00,0.0509
2026-08-20 19:58:15,0.0509
2026-08-20 19:58:30,0.0509
2026-08-20 19:58:45,0.0443
2026-08-20 19:59:00,0.0443
2026-08-20 19:59:15,0.0443
2026-08-20 19:59:30,0.0443
2026-08-20 19:59:45,0.0392
2026-08-20 20:00:00,0.0392
2026-08-20 20:00:15,0.0392
2026-08-20 20:00:30,0.0392
2026-08-20 20:00:45,0.0345
2026-08-20 20:01:00,0.0345
2026-08-20 20:01:15,0.0345
2026-08-20 20:01:30,0.0345
2026-08-20 20:01:45,0.0299
2026-08-20 20:02:00,0.0299
2026-08-20 20:02:15,0.0299
2026-08-20 20:02:30,0.0299
2026-08-20 20:02:45,0.0254
2026-08-20 20:03:00,0.0254
2026-08-20 20:03:15,0.0254
2026-08-20 20:03:30,0.0254
2026-08-20 20:03:45,0.0236
2026-08-20 20:04:00,0.0236
2026-08-20 20:04:15,0.0236
2026-08-20 20:04:30,0.0236
2026-08-20 20:04:45,0.0237
2026-08-20 20:05:00,0.0237
2026-08-20 20:05:15,0.0237
2026-08-20 20:05:30,0.0237
2026-08-20 20:05:45,0.0237
2026-08-20 20:06:00,0.0237
2026-08-20 20:06:15,0.0237
2026-08-20 20:06:30,0.0237
2026-08-20 20:06:45,0.0237
2026-08-20 20:07:00,0.0237
2026-08-20 20:07:15,0.0237
2026-08-20 20:07:30,0.0237
2026-08-20 20:07:45,0.0240
2026-08-20 20:08:00,0.0240
2026-08-20 20:08:15,0.0240
2026-08-20 20:08:30,0.0240
2026-08-20 20:08:45,0.0279
2026-08-20 20:09:00,0.0279
2026-08-20 20:09:15,0.0279
2026-08-20 20:09:30,0.0279
2026-08-20 20:09:45,0.0325
2026-08-20 20:10:00,0.0325
2026-08-20 20:10:15,0.0325
2026-08-20 20:10:30,0.0325
2026-08-20 20:10:45,0.0363
2026-08-20 20:11:00,0.0363
2026-08-20 20:11:15,0.0363
2026-08-20 20:11:30,0.0363
2026-08-20 20:11:45,0.0401
2026-08-20 20:12:00,0.0401
2026-08-20 20:12:15,0.0401
2026-08-20 20:12:30,0.0401
2026-08-20 20:12:45,0.0438
2026-08-20 20:13:00,0.0438
2026-08-20 20:13:15,0.0438
2026-08-20 20:13:30,0.0438
2026-08-20 20:13:45,0.0456
2026-08-20 20:14:00,0.0456
2026-08-20 20:14:15,0.0456
2026-08-20 20:14:30,0.0456
2026-08-20 20:14:45,0.0458
2026-08-20 20:15:00,0.0458
2026-08-20 20:15:15,0.0458
2026-08-20 20:15:30,0.0458
2026-08-20 20:15:45,0.0458
2026-08-20 20:16:00,0.0458
2026-08-20 20:16:15,0.0458
2026-08-20 20:16:30,0.0458
2026-08-20 20:16:45,0.0458
2026-08-20 20:17:00,0.0458
2026-08-20 20:17:15,0.0458
2026-08-20 20:17:30,0.0458
2026-08-20 20:17:45,0.0458
2026-08-20 20:18:00,0.0458
2026-08-20 20:18:15,0.0458
2026-08-20 20:18:30,0.0458
2026-08-20 20:18:45,0.0460
2026-08-20 20:19:00,0.0460
2026-08-20 20:19:15,0.0460
2026-08-20 20:19:30,0.0460
2026-08-20 20:19:45,0.0451
2026-08-20 20:20:00,0.0451
2026-08-20 20:20:15,0.0451
2026-08-20 20:20:30,0.0451
2026-08-20 20:20:45,0.0438
2026-08-20 20:21:00,0.0438
2026-08-20 20:21:15,0.0438
2026-08-20 20:21:30,0.0438
2026-08-20 20:21:45,0.0424
2026-08-20 20:22:00,0.0424
2026-08-20 20:22:15,0.0424
2026-08-20 20:22:30,0.0424
2026-08-20 20:22:45,0.0410
2026-08-20 20:23:00,0.0410
2026-08-20 20:23:15,0.0410
2026-08-20 20:23:30,0.0410
2026-08-20 20:23:45,0.0401
2026-08-20 20:24:00,0.0401
2026-08-20 20:24:15,0.0401
2026-08-20 20:24:30,0.0401
2026-08-20 20:24:45,0.0400
2026-08-20 20:25:00,0.0400
2026-08-20 20:25:15,0.0400
2026-08-20 20:25:30,0.0400
2026-08-20 20:25:45,0.0400
2026-08-20 20:26:00,0.0400
2026-08-20 20:26:15,0.0400
2026-08-20 20:26:30,0.0400
2026-08-20 20:26:45,0.0400
2026-08-20 20:27:00,0.0400
2026-08-20 20:27:15,0.0400
2026-08-20 20:27:30,0.0400
2026-08-20 20:27:45,0.0400
2026-08-20 20:28:00,0.0400
2026-08-20 20:28:15,0.0400
2026-08-20 20:28:30,0.0400
2026-08-20 20:28:45,0.0400
2026-08-20 20:29:00,0.0400
2026-08-20 20:29:15,0.0400
2026-08-20 20:29:30,0.0400
2026-08-20 20:29:45,0.0401
2026-08-20 20:30:00,0.0401
2026-08-20 20:30:15,0.0401
2026-08-20 20:30:30,0.0401
2026-08-20 20:30:45,0.0400
2026-08-20 20:31:00,0.0400
2026-08-20 20:31:15,0.0400
2026-08-20 20:31:30,0.0400
2026-08-20 20:31:45,0.0400
2026-08-20 20:32:00,0.0400
2026-08-20 20:32:15,0.0400
2026-08-20 20:32:30,0.0400
2026-08-20 20:32:45,0.0400
2026-08-20 20:33:00,0.0400
2026-08-20 20:33:15,0.0400
2026-08-20 20:33:30,0.0400
2026-08-20 20:33:45,0.0399
2026-08-20 20:34:00,0.0399
2026-08-20 20:34:15,0.0399
2026-08-20 20:34:30,0.0399
2026-08-20 20:34:45,0.0399
2026-08-20 20:35:00,0.0399
2026-08-20 20:35:15,0.0399
2026-08-20 20:35:30,0.0399
2026-08-20 20:35:45,0.0399
2026-08-20 20:36:00,0.0399
2026-08-20 20:36:15,0.0399
2026-08-20 20:36:30,0.0399
2026-08-20 20:36:45,0.0400
2026-08-20 20:37:00,0.0400
2026-08-20 20:37:15,0.0400
2026-08-20 20:37:30,0.0400
2026-08-20 20:37:45,0.0399
2026-08-20 20:38:00,0.0399
2026-08-20 20:38:15,0.0399
2026-08-20 20:38:30,0.0399
2026-08-20 20:38:45,0.0399
2026-08-20 20:39:00,0.0399
2026-08-20 20:39:15,0.0399
2026-08-20 20:39:30,0.0399
2026-08-20 20:39:45,0.0399
2026-08-20 20:40:00,0.0399
2026-08-20 20:40:15,0.0399
2026-08-20 20:40:30,0.0399
2026-08-20 20:40:45,0.0398
2026-08-20 20:41:00,0.0398
2026-08-20 20:41:15,0.0398
2026-08-20 20:41:30,0.0398
2026-08-20 20:41:45,0.0398
2026-08-20 20:42:00,0.0398
2026-08-20 20:42:15,0.0398
2026-08-20 20:42:30,0.0398
2026-08-20 20:42:45,0.0399
